,name,cmt,add,del,fixes,files,comments,pr,issues,handle_issue
1536,Benedict Jin,2,5,10,0,5,,,,
1537,PND,1,1,1,0,1,,,,
1538,Ted Timmons,1,2,2,0,1,,,,
1539,Maxim,4,908,52,0,26,,,,
1540,Jess,1,41,41,0,1,,,,
1541,Ross Wolf,11,4601,2500,1,77,,,,
1542,Dan Pickett,1,6,6,0,6,,,,
1543,Elvis Saravia,1,1,1,0,1,,,,
1544,Dominic Page,2,1606,668,0,24,,,,
1545,Amir H Movahed,1,71,34,0,6,,,,
1546,Alex Perrin,1,1,1,0,1,,,,
1547,Bogdan Pintea,8,1179,454,2,82,,,,
1548,Sven Schliesing,1,1,1,0,1,,,,
1549,Darren LaCasse,1,1,1,0,1,,,,
1550,Noor,1,1,1,0,1,,,,
1551,Jonathan Budzenski,2,93,93,0,62,,,,
1552,Jochem Wichers Hoeth,1,2,2,0,1,,,,
1553,Gautam,1,1,1,1,1,,,,
1554,Maria Ralli,4,206,92,0,34,,,,
1555,Grzegorz Banasiak,1,1,1,1,1,,,,
1556,baifan,1,1,1,0,1,,,,
1557,feifeiiiiiiiiii,1,18,0,0,2,,,,
1558,Edu Gonz¨¢lez de la Herr¨¢n,1,5,0,0,1,,,,
1559,Raidok,1,2,0,0,1,0.0,1.0,1.0,0.0
1560,OriGlassman,1,2,2,0,1,0.0,1.0,1.0,0.0
1561,Dongkuo Ma,1,35,9,0,4,,,,
1562,Kaihong.Wang,1,9,2,1,1,,,,
1563,JaeGeun,1,3,0,0,1,,,,
1564,Josh Devins,1,744,129,0,11,,,,
1565,hezhen Zhang,1,2,1,0,1,,,,
1566,jureaky,2,50,2,0,2,0.0,3.0,4.0,0.0
1567,Nattachai Suteerapongpan,1,1,1,0,1,,,,
1568,Jonathan Leitschuh,1,10,0,0,1,,,,
1569,Filip M. Nowak,1,1,1,1,1,,,,
1570,rhymes,1,1,1,0,1,0.0,1.0,1.0,0.0
1571,Muhammad Shaheer Akram,1,1,1,0,1,,,,
1572,Yosuke Hirakida,1,2,2,0,1,,,,
1573,Adam Canady,1,3,3,0,1,,,,
1574,Cau¨º Marcondes,1,5,2,0,2,,,,
1575,Anton Dollmaier,1,1,1,0,1,,,,
1576,Romain Gonord,1,1,1,0,1,,,,
1577,Greg Back,1,2,2,0,1,,,,
1578,Dominik Riemer,1,2,2,0,1,,,,
1579,Jakob Reiter,1,1,1,0,1,,,,
1580,Ryan Earle,1,1,1,0,1,,,,
1581,Yash Joshi,1,1,1,0,1,,,,
1582,Tianlun Li,1,30,17,0,3,,,,
1583,Ralph Ursprung,1,1,1,0,1,,,,
1584,Luca Belluccini,1,11,7,0,1,,,,
1585,Peter Schretlen,1,8,0,0,2,,,,
1586,musteaf,1,536,98,0,14,15.0,1.0,2.0,0.0
1587,C.J. Jameson,1,2,2,0,1,,,,
1588,Namgyu Kim,1,222,1,0,7,,,,
1589,muachilin,2,52,136,0,4,19.0,3.0,3.0,0.0
1590,Ahmet Arslan,1,1,1,0,1,,,,
1591,Gil Raphaelli,1,2,2,0,1,,,,
1592,tninokehoe,1,50,1,0,2,0.0,1.0,1.0,0.0
1593,Hakky54,1,122,2,0,3,6.0,2.0,4.0,0.0
1594,Th¨¦ophile Helleboid - chtitux,1,1,1,0,1,,,,
1595,Vishal Patel,2,51,26,0,2,,,,
1596,ScriptShi,1,70,5,0,2,,,,
1597,Dan Roscigno,1,2,0,0,1,,,,
1598,William Brafford,6,839,855,0,205,,,,
1599,ScriptShi,1,1,1,0,1,,,,
1600,Jim Crowley,2,43,27,0,6,,,,
1601,zhichen,1,749,11,0,30,9.0,1.0,4.0,0.0
1602,Ben Skelker,1,1,1,0,1,,,,
1603,jmceniery,1,1,1,0,1,0.0,2.0,3.0,0.0
1604,Fernando Briano,1,3,0,0,1,,,,
1605,David Kilfoyle,1,150,0,0,2,,,,
1606,Amit Khandelwal,1,75,3,0,3,,,,
1607,Yang Cheng,1,54,1,0,2,,,,
1608,RogerTheUnicornHive,1,3,2,0,1,0.0,1.0,1.0,0.0
1609,AB Prashanth,1,12,140,0,1,,,,
1610,Vanessa Bell,1,1,1,0,1,,,,
