name,cmt,add,del,fixes,files
Patrick Maynard,1,1,1,0,1
Josemy Duarte,1,240,132,0,12
Orhan Toy,7,23,23,1,12
SylvainJuge,1,2,2,1,2
tjwilson90,1,9,2,0,2
Antoine Garcia,1,1,1,0,1
gpaimla,1,133,1,0,7
Mathew Davis,1,1,1,0,1
jesinity,1,1638,52,0,19
Jared Tan,1,2,2,0,2
Daniel Mitterdorfer,2,5,1,0,2
Kelly Campbell,1,2,2,0,1
j-bean,4,946,94,1,39
Xiang Dai,2,24,24,0,16
pigbrain,1,1,1,1,1
Tugberk Ugurlu,1,1,1,0,1
Eric Miers,1,4,0,0,1
zacharymorn,6,2870,467,0,46
Vishnu Chilamakuru,1,29,1,0,4
Artur Carvalho,1,1,1,0,1
shiwenjie12,1,1,1,0,1
Stuart Cam,1,57,0,0,3
Kevin Woblick,1,6,0,0,1
Aleksandr Maus,24,10920,1099,0,195
riverbuilding,1,3,3,0,1
Jake,1,1,1,0,1
Oleg,1,39,1,0,4
arkel-s,1,3,3,0,1
blueSky1825821,1,1,1,0,1
Sean Story,2,2,2,0,2
Larry Gregory,4,572,201,2,40
junmuz,1,2,2,0,1
Darren Foong,1,92,5,0,2
Mykhailo Havelia,1,1,1,0,1
Oleksandr Stasyk,1,2,0,0,1
Yang Wang,20,1992,1166,1,167
Benedict Jin,2,5,10,0,5
PND,1,1,1,0,1
Ted Timmons,1,2,2,0,1
Maxim,4,908,52,0,26
Jess,1,41,41,0,1
Ross Wolf,11,4601,2500,1,77
Dan Pickett,1,6,6,0,6
Elvis Saravia,1,1,1,0,1
Dominic Page,2,1606,668,0,24
Amir H Movahed,1,71,34,0,6
Alex Perrin,1,1,1,0,1
Bogdan Pintea,8,1179,454,2,82
Sven Schliesing,1,1,1,0,1
Darren LaCasse,1,1,1,0,1
Noor,1,1,1,0,1
Jonathan Budzenski,2,93,93,0,62
Jochem Wichers Hoeth,1,2,2,0,1
Gautam,1,1,1,1,1
Maria Ralli,4,206,92,0,34
Grzegorz Banasiak,1,1,1,1,1
baifan,1,1,1,0,1
feifeiiiiiiiiii,1,18,0,0,2
Edu Gonz¨¢lez de la Herr¨¢n,1,5,0,0,1
Raidok,1,2,0,0,1
OriGlassman,1,2,2,0,1
Dongkuo Ma,1,35,9,0,4
Kaihong.Wang,1,9,2,1,1
JaeGeun,1,3,0,0,1
Josh Devins,1,744,129,0,11
hezhen Zhang,1,2,1,0,1
jureaky,2,50,2,0,2
Nattachai Suteerapongpan,1,1,1,0,1
Jonathan Leitschuh,1,10,0,0,1
Filip M. Nowak,1,1,1,1,1
rhymes,1,1,1,0,1
Muhammad Shaheer Akram,1,1,1,0,1
Yosuke Hirakida,1,2,2,0,1
Adam Canady,1,3,3,0,1
Cau¨º Marcondes,1,5,2,0,2
Anton Dollmaier,1,1,1,0,1
Romain Gonord,1,1,1,0,1
Greg Back,1,2,2,0,1
Dominik Riemer,1,2,2,0,1
Jakob Reiter,1,1,1,0,1
Ryan Earle,1,1,1,0,1
Yash Joshi,1,1,1,0,1
Tianlun Li,1,30,17,0,3
Ralph Ursprung,1,1,1,0,1
Luca Belluccini,1,11,7,0,1
Peter Schretlen,1,8,0,0,2
musteaf,1,536,98,0,14
C.J. Jameson,1,2,2,0,1
Namgyu Kim,1,222,1,0,7
muachilin,2,52,136,0,4
Ahmet Arslan,1,1,1,0,1
Gil Raphaelli,1,2,2,0,1
tninokehoe,1,50,1,0,2
Hakky54,1,122,2,0,3
Th¨¦ophile Helleboid - chtitux,1,1,1,0,1
Vishal Patel,2,51,26,0,2
ScriptShi,1,70,5,0,2
Dan Roscigno,1,2,0,0,1
William Brafford,6,839,855,0,205
ScriptShi,1,1,1,0,1
Jim Crowley,2,43,27,0,6
zhichen,1,749,11,0,30
Ben Skelker,1,1,1,0,1
jmceniery,1,1,1,0,1
Fernando Briano,1,3,0,0,1
David Kilfoyle,1,150,0,0,2
Amit Khandelwal,1,75,3,0,3
Yang Cheng,1,54,1,0,2
RogerTheUnicornHive,1,3,2,0,1
AB Prashanth,1,12,140,0,1
Vanessa Bell,1,1,1,0,1
